Comunidades y Ciudades Autónomas;Edades;Sexo;Periodo;Total
Andalucía;De 45 a 49 años;Mujeres;2019;4,156
Andalucía;De 45 a 49 años;Mujeres;2018;3,588
Andalucía;De 50 a 54 años;Total;2021;14,827
Andalucía;De 50 a 54 años;Total;2020;13,526
Andalucía;De 50 a 54 años;Total;2019;11,306
Andalucía;De 50 a 54 años;Total;2018;11,533
Andalucía;De 50 a 54 años;Hombres;2021;21,38
Andalucía;De 50 a 54 años;Hombres;2020;19,63
Andalucía;De 50 a 54 años;Hombres;2019;16,977
Andalucía;De 50 a 54 años;Hombres;2018;17,085
Andalucía;De 50 a 54 años;Mujeres;2021;8,343
Andalucía;De 50 a 54 años;Mujeres;2020;7,48
Andalucía;De 50 a 54 años;Mujeres;2019;5,697
Andalucía;De 50 a 54 años;Mujeres;2018;6,039
Andalucía;De 55 a 59 años;Total;2021;12,79
Andalucía;De 55 a 59 años;Total;2020;14,223
Andalucía;De 55 a 59 años;Total;2019;8,589
Andalucía;De 55 a 59 años;Total;2018;12,346
Andalucía;De 55 a 59 años;Hombres;2021;20,171
Andalucía;De 55 a 59 años;Hombres;2020;16,585
Andalucía;De 55 a 59 años;Hombres;2019;11,264
Andalucía;De 55 a 59 años;Hombres;2018;19,002
Andalucía;De 55 a 59 años;Mujeres;2021;5,658
Andalucía;De 55 a 59 años;Mujeres;2020;11,927
Andalucía;De 55 a 59 años;Mujeres;2019;5,984
Andalucía;De 55 a 59 años;Mujeres;2018;5,844
Andalucía;De 60 a 64 años;Total;2021;14,661
Andalucía;De 60 a 64 años;Total;2020;11,132
Andalucía;De 60 a 64 años;Total;2019;11,615
Andalucía;De 60 a 64 años;Total;2018;9,215
Andalucía;De 60 a 64 años;Hombres;2021;24,01
Andalucía;De 60 a 64 años;Hombres;2020;17,309
Andalucía;De 60 a 64 años;Hombres;2019;17,243
Andalucía;De 60 a 64 años;Hombres;2018;12,878
Andalucía;De 60 a 64 años;Mujeres;2021;5,787
Andalucía;De 60 a 64 años;Mujeres;2020;5,247
Andalucía;De 60 a 64 años;Mujeres;2019;6,255
Andalucía;De 60 a 64 años;Mujeres;2018;5,726
Andalucía;De 65 a 69 años;Total;2021;10,678
Andalucía;De 65 a 69 años;Total;2020;12,476
Andalucía;De 65 a 69 años;Total;2019;10,126
Andalucía;De 65 a 69 años;Total;2018;10,501
Andalucía;De 65 a 69 años;Hombres;2021;15,967
Andalucía;De 65 a 69 años;Hombres;2020;18,939
Andalucía;De 65 a 69 años;Hombres;2019;14,873
Andalucía;De 65 a 69 años;Hombres;2018;15,069
Andalucía;De 65 a 69 años;Mujeres;2021;5,801
Andalucía;De 65 a 69 años;Mujeres;2020;6,477
Andalucía;De 65 a 69 años;Mujeres;2019;5,717
