Sexo;Total Nacional;Comunidades y Ciudades Autónomas;Intensidad depresión;Total
Hombres;Total;Murcia (Región de);TOTAL;100,00
Hombres;Total;Murcia (Región de);Ninguna;90,80
Hombres;Total;Murcia (Región de);Leve;6,20
Hombres;Total;Murcia (Región de);Moderada;1,79
Hombres;Total;Murcia (Región de);Moderadamente grave;0,94
Hombres;Total;Murcia (Región de);Grave;0,28
Hombres;Total;Navarra (Comunidad Foral de);TOTAL;100,00
Hombres;Total;Navarra (Comunidad Foral de);Ninguna;89,25
Hombres;Total;Navarra (Comunidad Foral de);Leve;6,16
Hombres;Total;Navarra (Comunidad Foral de);Moderada;3,17
Hombres;Total;Navarra (Comunidad Foral de);Moderadamente grave;1,14
Hombres;Total;Navarra (Comunidad Foral de);Grave;0,27
Hombres;Total;País Vasco;TOTAL;100,00
Hombres;Total;País Vasco;Ninguna;88,23
Hombres;Total;País Vasco;Leve;8,52
Hombres;Total;País Vasco;Moderada;2,07
Hombres;Total;País Vasco;Moderadamente grave;0,82
Hombres;Total;País Vasco;Grave;0,36
Hombres;Total;Rioja (La);TOTAL;100,00
Hombres;Total;Rioja (La);Ninguna;94,36
Hombres;Total;Rioja (La);Leve;3,51
Hombres;Total;Rioja (La);Moderada;1,45
Hombres;Total;Rioja (La);Moderadamente grave;0,10
Hombres;Total;Rioja (La);Grave;0,59
Hombres;Total;Ceuta (Ciudad Autónoma de);TOTAL;100,00
Hombres;Total;Ceuta (Ciudad Autónoma de);Ninguna;92,33
Hombres;Total;Ceuta (Ciudad Autónoma de);Leve;5,91
Hombres;Total;Ceuta (Ciudad Autónoma de);Moderada;0,00
Hombres;Total;Ceuta (Ciudad Autónoma de);Moderadamente grave;1,75
Hombres;Total;Ceuta (Ciudad Autónoma de);Grave;0,00
Hombres;Total;Melilla (Ciudad Autónoma de);TOTAL;100,00
Hombres;Total;Melilla (Ciudad Autónoma de);Ninguna;90,50
Hombres;Total;Melilla (Ciudad Autónoma de);Leve;9,50
Hombres;Total;Melilla (Ciudad Autónoma de);Moderada;0,00
Hombres;Total;Melilla (Ciudad Autónoma de);Moderadamente grave;0,00
Hombres;Total;Melilla (Ciudad Autónoma de);Grave;0,00
Mujeres;Total;;TOTAL;100,00
Mujeres;Total;;Ninguna;83,68
Mujeres;Total;;Leve;10,52
Mujeres;Total;;Moderada;3,28
Mujeres;Total;;Moderadamente grave;1,64
Mujeres;Total;;Grave;0,88
Mujeres;Total;Andalucía;TOTAL;100,00
Mujeres;Total;Andalucía;Ninguna;88,10
Mujeres;Total;Andalucía;Leve;7,72
Mujeres;Total;Andalucía;Moderada;2,53
Mujeres;Total;Andalucía;Moderadamente grave;1,23
Mujeres;Total;Andalucía;Grave;0,42
Mujeres;Total;Aragón;TOTAL;100,00
Mujeres;Total;Aragón;Ninguna;80,54
Mujeres;Total;Aragón;Leve;13,81
Mujeres;Total;Aragón;Moderada;4,14
Mujeres;Total;Aragón;Moderadamente grave;0,78
Mujeres;Total;Aragón;Grave;0,72
Mujeres;Total;Asturias (Principado de);TOTAL;100,00
Mujeres;Total;Asturias (Principado de);Ninguna;86,85
Mujeres;Total;Asturias (Principado de);Leve;9,55
Mujeres;Total;Asturias (Principado de);Moderada;1,63
